iteration,hub abs. gap,hub rel. gap,spoke abs. gap,spoke rel. gap
1,,,,
2,inf,inf,0.0,0.0
3,inf,inf,3630.1699999999983,0.05199744637172936
4,inf,inf,3069.7400000000052,0.04179669671926696
5,inf,inf,2341.4100000000035,0.03060094648974118
6,inf,inf,3980.779999999999,0.05202661463282025
7,inf,inf,2142.779999999999,0.026620012055395173
8,inf,inf,779.75,0.009435747731124693
9,inf,inf,1766.449999999997,0.021175984303554093
10,inf,inf,2251.8600000000006,0.026435227435743266
11,inf,inf,736.9700000000012,0.008428686974415105
12,inf,inf,599.3899999999994,0.006797894454860212
13,inf,inf,634.0300000000134,0.007142207004258687
14,inf,inf,1847.5499999999884,0.020664648837425324
15,inf,inf,-853.3499999999913,-0.00935138524551171
16,inf,inf,1105.7400000000052,0.012117186056567966
17,inf,inf,291.4250000000029,0.003155329819531515
18,inf,inf,278.8299999999872,0.0030189606711158038
19,inf,inf,1184.7600000000093,0.01278907684424282
20,inf,inf,365.33434782607947,0.003893859799758242
21,inf,inf,-525.4543478260748,-0.005578751248778881
22,inf,inf,834.3156521739147,0.008857933150039536
23,inf,inf,773.929999999993,0.008144673427988398
24,inf,inf,384.6900000000023,0.004048395101640851
25,inf,inf,953.9799999999959,0.009999001127059844
26,inf,inf,19.029999999998836,0.00019748548979772978
27,inf,inf,439.74000000000524,0.004562539284382566
28,inf,inf,679.1899999999878,0.007014955957574051
29,inf,inf,-443.13000000000466,-0.004544947782793124
30,inf,inf,375.4600000000064,0.0038508927279297667
31,inf,inf,-60.69999999999709,-0.000620179243040042
32,inf,inf,278.25999999999476,0.002843016081850529
33,inf,inf,756.0800049954414,0.007703060949882949
34,inf,inf,-558.3100138839363,-0.005644668228324188
35,inf,inf,561.0000039868319,0.00567186477019291
36,inf,inf,60.69997430291551,0.0006102323266784561
37,inf,inf,-52.51000201860734,-0.0005275745029655156
38,inf,inf,497.3400003130955,0.004996836666985329
39,inf,inf,-60.62997210668982,-0.0006061281262937599
40,inf,inf,233.97083021793514,0.002339046118606818
41,inf,inf,216.37919301821967,0.002158131565149897
42,inf,inf,602.5195152776869,0.00599649234212224
43,inf,inf,-36.309521708099055,-0.00035921149594575247
44,inf,inf,469.4504632392782,0.004644291503707504
45,inf,inf,-281.2699821248534,-0.0027697512281846643
