iteration,hub upper bound,hub lower bound,spoke bound
56,inf,103465.80998554373,103647.40998389339
57,inf,103647.40998389339,103769.99001022987
58,inf,103769.99001022987,103994.15998621925
59,inf,103994.15998621925,104199.68094148426
60,inf,104199.68094148426,104624.94001465384
61,inf,104624.94001465384,103663.790008216
62,inf,104624.94001465384,104922.35001143519
63,inf,104922.35001143519,103869.61924780019
64,inf,104922.35001143519,104947.6700171064
65,inf,104947.6700171064,104728.96000042625
66,inf,104947.6700171064,105044.65001245541
67,inf,105044.65001245541,105219.51000206912
68,inf,105219.51000206912,104865.68999634113
69,inf,105219.51000206912,105957.68001260409
70,133778.31,105957.68001260409,105364.54998195138
71,129960.6,105957.68001260409,105717.27001330367
72,129960.6,105957.68001260409,105881.06997740295
73,129960.6,105957.68001260409,106016.98530332677
74,129960.6,106016.98530332677,106344.4165824073
75,129960.6,106344.4165824073,106628.99001115636
76,129960.6,106628.99001115636,106229.72000148542
77,129960.6,106628.99001115636,106618.50999028757
78,129960.6,106628.99001115636,106684.15890120053
79,129960.6,106684.15890120053,106890.28000180871
80,129960.6,106890.28000180871,107013.92001201877
81,129960.6,107013.92001201877,107127.18999218714
82,129960.6,107127.18999218714,106852.14000812556
83,129960.6,107127.18999218714,107164.43998414667
84,129960.6,107164.43998414667,106916.62001299813
85,129960.6,107164.43998414667,107946.26999076658
86,129960.6,107946.26999076658,107442.75001122583
87,116823.82,107946.26999076658,108076.33000280746
88,116823.82,108076.33000280746,107689.21001050787
89,116823.82,108076.33000280746,107540.2400068912
90,116823.82,108076.33000280746,108073.46280423724
91,116823.82,108076.33000280746,107411.2700082402
92,116823.82,108076.33000280746,108322.3800128041
93,116823.82,108322.3800128041,107863.98999281166
94,116823.82,108322.3800128041,108557.32001274047
95,116823.82,108557.32001274047,108629.93000963211
96,116823.82,108629.93000963211,108737.13001338561
97,116823.82,108737.13001338561,108273.01000532505
98,116823.82,108737.13001338561,108628.50998990315
99,116823.82,108737.13001338561,108176.6100091229
100,116823.82,108737.13001338561,109340.02783299783
101,116823.82,109340.02783299783,108714.1499917047
102,116823.82,109340.02783299783,109334.59091572902
103,116823.82,109340.02783299783,108852.02999207265
104,116823.82,109340.02783299783,108616.17000788424
105,116823.82,109340.02783299783,108725.32000690621
106,116823.82,109340.02783299783,109159.93998219779
107,116823.82,109340.02783299783,108478.3800143931
108,116823.82,109340.02783299783,109646.6199974117
109,116823.82,109646.6199974117,109488.18999366851
110,116823.82,109646.6199974117,109548.30001067798
111,116823.82,109646.6199974117,109972.40822543038
112,116823.82,109972.40822543038,109861.17001084899
113,116823.82,109972.40822543038,109626.7800098902
114,116823.82,109972.40822543038,110433.15001065815
115,116823.82,110433.15001065815,109849.09999043375
116,116823.82,110433.15001065815,109795.05000892599
117,116823.82,110433.15001065815,109802.0199863541
118,116823.82,110433.15001065815,110010.47000875852
119,116823.82,110433.15001065815,109755.48001948993
120,116823.82,110433.15001065815,110794.72999667839
121,116823.82,110794.72999667839,110979.97000915378
122,116823.82,110979.97000915378,110540.71998135306
123,116823.82,110979.97000915378,110992.26000966491
124,116823.82,110992.26000966491,110717.86001125805
125,116823.82,110992.26000966491,111009.1323041898
126,116823.82,111009.1323041898,111005.41001004566
127,116823.82,111009.1323041898,110703.72000699694
128,116823.82,111009.1323041898,110827.43000723378
129,116823.82,111009.1323041898,111125.79999246002
130,116823.82,111125.79999246002,110842.90001017052
131,116823.82,111125.79999246002,111077.07000690566
132,116823.82,111125.79999246002,111106.2400001852
133,116823.82,111125.79999246002,111042.2799886653
134,116823.82,111125.79999246002,111188.86001043464
135,116823.82,111188.86001043464,111166.77000611406
136,116823.82,111188.86001043464,111279.90997559296
137,116823.82,111279.90997559296,111411.98999817748
138,116823.82,111411.98999817748,111678.14000725275
139,116823.82,111678.14000725275,111292.83999257603
140,116823.82,111678.14000725275,111597.02998644534
141,116823.82,111678.14000725275,111741.28500251056
142,116823.82,111741.28500251056,112122.62999967072
143,116823.82,112122.62999967072,111948.44499537135
144,116823.82,112122.62999967072,111631.29000019525
145,116823.82,112122.62999967072,111661.9000026173
146,116823.82,112122.62999967072,111630.21000230534
147,116823.82,112122.62999967072,110848.12998835048
148,116823.82,112122.62999967072,111188.35000559718
149,116823.82,112122.62999967072,111473.78539933414
150,116823.82,112122.62999967072,112344.98000480943
151,116823.82,112344.98000480943,111107.83999406177
152,116823.82,112344.98000480943,111834.23000031144
153,116823.82,112344.98000480943,111487.49571734101
154,116823.82,112344.98000480943,111824.96999859798
155,116823.82,112344.98000480943,111120.91000318517
156,116823.82,112344.98000480943,110775.6800131183
157,116823.82,112344.98000480943,111990.91000156428
158,116823.82,112344.98000480943,111307.51999056272
159,116823.82,112344.98000480943,111312.51999937934
160,116823.82,112344.98000480943,111212.46000125243
161,116823.82,112344.98000480943,111049.79574963383
162,116823.82,112344.98000480943,111233.15001739642
163,116823.82,112344.98000480943,112005.15001530638
164,116823.82,112344.98000480943,111634.1900114397
165,116823.82,112344.98000480943,112156.24000471861
166,116823.82,112344.98000480943,111603.60998841096
167,116823.82,112344.98000480943,111877.35000180808
168,116823.82,112344.98000480943,111889.72338013246
169,116823.82,112344.98000480943,112359.89524167692
170,116823.82,112359.89524167692,112213.43000373605
171,116823.82,112359.89524167692,111967.91999818178
172,116823.82,112359.89524167692,111891.71777127989
173,116823.82,112359.89524167692,111931.34001014325
174,116823.82,112359.89524167692,112283.8800040007
175,116823.82,112359.89524167692,112214.96000311378
176,116823.82,112359.89524167692,112355.98782905107
177,116823.82,112359.89524167692,111494.98999286139
178,116823.82,112359.89524167692,112171.3100065327
179,116823.82,112359.89524167692,112341.59999347347
180,116823.82,112359.89524167692,111793.52501289792
181,116823.82,112359.89524167692,111972.81998462425
182,116823.82,112359.89524167692,112254.46000414068
183,116823.82,112359.89524167692,112175.5799955047
184,116823.82,112359.89524167692,111567.64000088093
185,116823.82,112359.89524167692,112019.89000814795
186,116823.82,112359.89524167692,112305.74999211644
187,116823.82,112359.89524167692,112097.1300128822
188,116823.82,112359.89524167692,112457.88000405178
189,116823.82,112457.88000405178,112524.64000386337
190,116823.82,112524.64000386337,112130.2513656453
191,116823.82,112524.64000386337,112086.95000160688
192,116823.82,112524.64000386337,112330.68999938646
193,116823.82,112524.64000386337,112501.08999180282
194,116823.82,112524.64000386337,112396.45457350697
195,116823.82,112524.64000386337,112609.45999686992
196,116823.82,112609.45999686992,112475.22999949587
197,116823.82,112609.45999686992,112741.57001167523
198,116823.82,112741.57001167523,112731.67999106564
199,116823.82,112741.57001167523,112346.5000092739
200,116823.82,112741.57001167523,112884.4842053452
201,116823.82,112884.4842053452,112562.28614788785
202,116823.82,112884.4842053452,112641.47149270865
203,116823.82,112884.4842053452,112764.61999565145
204,116823.82,112884.4842053452,112353.70001456399
205,116823.82,112884.4842053452,112800.15999586105
206,116823.82,112884.4842053452,112070.40000287241
207,116823.82,112884.4842053452,112897.03000293196
208,116823.82,112897.03000293196,112394.06001521254
209,116823.82,112897.03000293196,112838.10999606531
210,116823.82,112897.03000293196,112011.22001029064
211,116823.82,112897.03000293196,113133.2499947804
212,116823.82,113133.2499947804,112421.94666935266
213,116823.82,113133.2499947804,112727.47999542142
214,116823.82,113133.2499947804,112598.66999924279
215,116823.82,113133.2499947804,112735.33997272364
216,116823.82,113133.2499947804,112473.95999944714
217,116823.82,113133.2499947804,112977.26999217292
