iteration,hub upper bound,hub lower bound
0,inf,-inf
1,inf,71912.72777777778
2,inf,71912.72777777778
3,inf,72432.65000000001
4,inf,73140.59999999999
5,inf,73140.59999999999
6,inf,73741.35
7,inf,74312.7
8,inf,74480.85
9,inf,74566.65
10,inf,74755.45
11,inf,75015.65
12,inf,75394.04999999999
13,inf,75530.85185185185
14,inf,75928.74999999996
15,inf,75928.74999999996
16,inf,75928.74999999996
17,inf,75928.74999999996
18,inf,75928.74999999996
19,inf,75974.2
20,inf,76139.9
21,inf,76359.7
22,inf,76359.7
23,inf,76359.7
24,inf,76607.01874999989
25,inf,76765.9
26,inf,76765.9
27,inf,76765.9
28,inf,76765.9
29,inf,76765.9
30,inf,76765.9
31,inf,76765.9
32,inf,76765.9
33,inf,76765.9
34,inf,76765.9
35,inf,76765.9
36,inf,76765.9
37,inf,76765.9
38,inf,76765.9
39,inf,76765.9
40,inf,76765.9
41,inf,76765.9
42,inf,76765.9
43,inf,76765.9
44,inf,76765.9
45,inf,77119.65816326528
46,inf,77119.65816326528
47,inf,77135.2
48,inf,77275.05
49,inf,77275.05
50,inf,77275.05
51,89264.85,77275.05
52,89264.85,77275.05
53,89264.85,77275.05
54,89264.85,77275.05
55,89264.85,77275.05
56,89264.85,77275.05
57,89264.85,77275.05
58,89264.85,77275.05
59,89264.85,77275.05
60,89264.85,77275.05
61,89264.85,77275.05
62,89264.85,77275.05
63,89264.85,77275.05
64,89264.85,77275.05
65,89264.85,77275.05
66,89264.85,77570.84999999999
67,89264.85,77570.84999999999
68,89264.85,77570.84999999999
69,89264.85,77570.84999999999
70,89264.85,77570.84999999999
71,89264.85,77570.84999999999
72,89264.85,77570.84999999999
73,89264.85,77570.84999999999
74,89264.85,77570.84999999999
75,89264.85,77570.84999999999
76,89264.85,77613.17179487179
77,89264.85,77613.17179487179
78,89264.85,77817.97223400077
79,89264.85,77926.55
80,89264.85,77926.55
81,89264.85,78212.5717138072
82,89264.85,78212.5717138072
83,89264.85,78212.5717138072
84,89264.85,78212.5717138072
85,89264.85,78212.5717138072
86,89146.90000000001,78212.5717138072
87,89146.90000000001,78212.5717138072
88,89146.90000000001,78212.5717138072
89,89146.90000000001,78212.5717138072
90,89146.90000000001,78212.5717138072
91,89146.90000000001,78212.5717138072
92,89146.90000000001,78212.5717138072
93,89146.90000000001,78212.5717138072
94,89146.90000000001,78212.5717138072
95,89146.90000000001,78212.5717138072
96,89146.90000000001,78212.5717138072
97,89146.90000000001,78212.5717138072
98,89146.90000000001,78212.5717138072
99,89146.90000000001,78212.5717138072
100,89146.90000000001,78212.5717138072
