iteration,hub upper bound,hub lower bound
0,inf,-inf
1,inf,-275.70000000000005
2,-260.5,-275.70000000000005
3,-260.5,-275.70000000000005
4,-260.5,-274.6000000014685
5,-260.5,-273.2
6,-260.5,-273.2
7,-260.5,-273.2
8,-260.5,-273.2
9,-260.5,-272.10000007600667
10,-260.5,-271.8
11,-260.5,-271.8
12,-260.5,-271.8
13,-260.5,-271.8
14,-260.5,-271.70000000000005
15,-260.5,-271.70000000000005
16,-260.5,-271.70000000000005
17,-260.5,-271.70000000000005
18,-260.5,-271.70000000000005
19,-260.5,-271.70000000000005
20,-260.5,-271.70000000000005
21,-260.5,-271.70000000000005
22,-260.5,-271.70000000000005
23,-260.5,-271.0
24,-260.5,-271.0
25,-260.5,-271.0
26,-260.5,-270.8
27,-260.5,-270.8
28,-260.5,-270.8
29,-260.5,-270.8
30,-260.5,-270.8
31,-260.5,-270.1000000000001
32,-260.5,-270.1000000000001
33,-260.5,-270.1000000000001
34,-260.5,-270.1000000000001
35,-260.5,-270.1000000000001
36,-260.5,-269.90000000000003
37,-260.5,-269.90000000000003
38,-260.5,-269.90000000000003
39,-260.5,-269.90000000000003
40,-260.5,-269.90000000000003
41,-260.5,-269.90000000000003
42,-260.5,-269.6
43,-260.5,-269.6
44,-260.5,-269.3
45,-260.5,-269.3
46,-260.5,-269.3
47,-260.5,-269.3
48,-260.5,-269.3
49,-260.5,-269.3
50,-260.5,-269.3
51,-260.5,-269.3
52,-260.5,-269.0
53,-260.5,-268.3
54,-260.5,-268.3
55,-260.5,-268.3
56,-260.5,-268.3
57,-260.5,-268.20000000000005
58,-260.5,-268.0
59,-260.5,-268.0
60,-260.5,-268.0
61,-260.5,-268.0
62,-260.5,-268.0
63,-260.5,-268.0
64,-260.5,-268.0
65,-260.5,-268.0
66,-260.5,-268.0
67,-260.5,-267.7
68,-260.5,-267.7
69,-260.5,-267.7
70,-260.5,-267.6
71,-260.5,-267.6
72,-260.5,-267.6
73,-260.5,-267.6
74,-260.5,-267.6
75,-260.5,-267.6
76,-260.5,-267.6
77,-260.5,-267.6
78,-260.5,-267.6
79,-260.5,-267.6
80,-260.5,-267.6
81,-260.5,-267.6
82,-260.5,-267.6
83,-260.5,-267.6
84,-260.5,-267.6
85,-260.5,-267.6
86,-260.5,-267.6
87,-260.5,-267.6
88,-260.5,-267.6
89,-260.5,-267.6
90,-260.5,-267.6
91,-260.5,-267.6
92,-260.5,-267.6
93,-260.5,-267.6
94,-260.5,-267.6
95,-260.5,-267.6
96,-260.5,-267.6
97,-260.5,-267.6
98,-260.5,-267.6
99,-260.5,-267.6
100,-260.5,-267.6
