iteration,hub upper bound,hub lower bound,spoke bound
51,inf,104372.46999999994,102758.8425708449
52,inf,104372.46999999994,102993.80999999992
53,inf,104372.46999999994,101132.99999999993
54,inf,104372.46999999994,100822.82999999991
55,inf,104372.46999999994,99883.4299999999
56,inf,104372.46999999994,100664.85999999991
57,inf,104372.46999999994,101489.4299999999
58,inf,104372.46999999994,100867.76999999992
59,inf,104372.46999999994,99894.22999999991
60,inf,104372.46999999994,101707.95999999992
61,inf,104372.46999999994,100573.00999999991
62,inf,104372.46999999994,100694.7899999999
63,inf,104372.46999999994,101456.89999999992
64,inf,104372.46999999994,101832.24999999991
65,116823.82,104372.46999999994,102630.1099999999
66,116823.82,104372.46999999994,101543.85999999991
67,116823.82,104372.46999999994,102169.0899999999
68,116823.82,104372.46999999994,101132.68999999992
69,116823.82,104372.46999999994,102519.1999999999
70,116823.82,104372.46999999994,102670.3099999999
71,116823.82,104372.46999999994,101873.86999999991
72,116823.82,104372.46999999994,101171.6199999999
73,116823.82,104372.46999999994,104035.7299999999
74,116823.82,104372.46999999994,103238.7399999999
75,116823.82,104372.46999999994,103251.0299999999
76,116823.82,104372.46999999994,103863.35999999988
77,116823.82,104372.46999999994,103205.10999999988
78,116823.82,104372.46999999994,103012.92999999989
79,116823.82,104372.46999999994,103687.6099999999
80,116823.82,104372.46999999994,102982.3779999999
81,116823.82,104372.46999999994,103030.5899999999
82,116823.82,104372.46999999994,102786.08999999988
83,116823.82,104372.46999999994,103578.93999999989
84,116823.82,104372.46999999994,102449.65999999989
85,116823.82,104372.46999999994,103156.4799999999
86,116823.82,104372.46999999994,101907.95999999989
87,116823.82,104372.46999999994,104703.00999999988
88,116823.82,104703.00999999988,102741.02999999988
89,116823.82,104703.00999999988,104314.59999999989
90,116823.82,104703.00999999988,102350.78999999988
91,116823.82,104703.00999999988,104495.27999999988
92,116823.82,104703.00999999988,104973.94999999985
93,116823.82,104973.94999999985,105415.87999999987
94,116823.82,105415.87999999987,103901.17999999988
95,116823.82,105415.87999999987,104788.09999999987
96,116823.82,105415.87999999987,103350.15999999987
97,116823.82,105415.87999999987,104289.10399999988
98,116823.82,105415.87999999987,104765.26999999987
99,116823.82,105415.87999999987,102582.54999999987
100,116823.82,105415.87999999987,103125.75999999988
101,116823.82,105415.87999999987,103592.79999999987
102,116823.82,105415.87999999987,103096.02999999984
103,116823.82,105415.87999999987,104678.42999999988
104,116823.82,105415.87999999987,104886.01999999987
105,116823.82,105415.87999999987,103238.40999999987
106,116823.82,105415.87999999987,102972.61999999988
107,116823.82,105415.87999999987,104506.05999999988
108,116823.82,105415.87999999987,103979.86999999988
109,116823.82,105415.87999999987,104707.17684210514
110,116823.82,105415.87999999987,104065.00999999988
111,116823.82,105415.87999999987,104679.68999999987
112,116823.82,105415.87999999987,104225.28999999988
113,116823.82,105415.87999999987,104602.12999999987
114,116823.82,105415.87999999987,104308.10999999988
115,116823.82,105415.87999999987,104501.28999999986
116,116823.82,105415.87999999987,104664.07999999987
117,116823.82,105415.87999999987,105327.08999999987
118,116823.82,105415.87999999987,105408.64999999986
119,116823.82,105415.87999999987,105122.73999999987
120,116823.82,105415.87999999987,103918.32999999986
121,116823.82,105415.87999999987,104878.27999999987
122,116823.82,105415.87999999987,103933.90999999986
123,116823.82,105415.87999999987,104614.21999999987
124,116823.82,105415.87999999987,103809.24999999985
125,116823.82,105415.87999999987,105607.07999999986
126,116823.82,105607.07999999986,104106.90999999986
127,116823.82,105607.07999999986,105453.74999999987
128,116823.82,105607.07999999986,103806.49999999987
129,116823.82,105607.07999999986,105352.46999999987
130,116823.82,105607.07999999986,103865.31999999986
131,116823.82,105607.07999999986,105133.07999999986
132,116823.82,105607.07999999986,103890.98999999986
133,116823.82,105607.07999999986,105143.74999999987
134,116823.82,105607.07999999986,103628.21999999987
135,116823.82,105607.07999999986,104878.46999999986
136,116823.82,105607.07999999986,103571.65999999987
137,116823.82,105607.07999999986,104823.07999999987
138,116823.82,105607.07999999986,104425.60999999987
139,116823.82,105607.07999999986,104414.48999999987
140,116823.82,105607.07999999986,104806.67999999986
141,116823.82,105607.07999999986,103727.26999999987
142,116823.82,105607.07999999986,104820.97999999986
143,116823.82,105607.07999999986,104481.46999999987
144,116823.82,105607.07999999986,105301.95999999986
145,116823.82,105607.07999999986,104379.94999999987
146,116823.82,105607.07999999986,105343.43999999986
147,116823.82,105607.07999999986,104149.80999999985
148,116823.82,105607.07999999986,105271.61999999985
149,116823.82,105607.07999999986,103913.42999999986
150,116823.82,105607.07999999986,105168.69999999984
151,116823.82,105607.07999999986,103132.69999999985
152,116823.82,105607.07999999986,104265.68999999986
153,116823.82,105607.07999999986,103637.68999999984
154,116823.82,105607.07999999986,104850.71999999984
155,116823.82,105607.07999999986,104837.34333333318
156,116823.82,105607.07999999986,105396.56999999983
157,116823.82,105607.07999999986,105376.13333333317
158,116823.82,105607.07999999986,105489.29999999984
159,116823.82,105607.07999999986,105321.41333333317
160,116823.82,105607.07999999986,106481.86999999982
161,116823.82,106481.86999999982,105341.45333333318
162,116823.82,106481.86999999982,106163.90999999983
163,116823.82,106481.86999999982,104957.17999999986
164,116823.82,106481.86999999982,106318.86999999984
165,116823.82,106481.86999999982,104887.63999999985
166,116823.82,106481.86999999982,106086.30999999982
167,116823.82,106481.86999999982,105024.41999999987
168,116823.82,106481.86999999982,105969.08999999982
169,116823.82,106481.86999999982,104632.57999999986
170,116823.82,106481.86999999982,105998.47999999982
171,116823.82,106481.86999999982,104733.03999999986
172,116823.82,106481.86999999982,105909.55999999982
173,116823.82,106481.86999999982,104902.41999999984
174,116823.82,106481.86999999982,106034.77999999981
175,116823.82,106481.86999999982,104889.85489608232
176,116823.82,106481.86999999982,105935.51999999981
177,116823.82,106481.86999999982,104539.38999999981
178,116823.82,106481.86999999982,104140.01999999983
179,116823.82,106481.86999999982,105700.0899999998
180,116823.82,106481.86999999982,104584.19999999981
181,116823.82,106481.86999999982,104339.4299999998
182,116823.82,106481.86999999982,105250.40999999981
183,116823.82,106481.86999999982,104688.6999999998
184,116823.82,106481.86999999982,104171.88999999981
185,116823.82,106481.86999999982,105022.1499999998
186,116823.82,106481.86999999982,104274.6199999998
187,116823.82,106481.86999999982,103984.3099999998
188,116823.82,106481.86999999982,105106.7099999998
189,116823.82,106481.86999999982,104520.7799999998
190,116823.82,106481.86999999982,103975.84999999979
191,116823.82,106481.86999999982,104086.98999999979
192,116823.82,106481.86999999982,103218.2299999998
193,116823.82,106481.86999999982,105182.33999999978
194,116823.82,106481.86999999982,105258.08599999978
195,116823.82,106481.86999999982,104450.88999999978
196,116823.82,106481.86999999982,104764.58999999978
197,116823.82,106481.86999999982,104591.6899999998
198,116823.82,106481.86999999982,104582.14999999978
199,116823.82,106481.86999999982,104082.44999999978
200,116823.82,106481.86999999982,102337.7899999998
201,116823.82,106481.86999999982,104629.65999999979
202,116823.82,106481.86999999982,103978.36999999978
203,116823.82,106481.86999999982,103749.54999999978
204,116823.82,106481.86999999982,104236.14999999979
205,116823.82,106481.86999999982,102984.04999999977
206,116823.82,106481.86999999982,103643.22999999978
207,116823.82,106481.86999999982,102460.50999999978
208,116823.82,106481.86999999982,104105.23999999979
209,116823.82,106481.86999999982,103828.68999999977
210,116823.82,106481.86999999982,103894.84999999977
211,116823.82,106481.86999999982,103184.95999999977
212,116823.82,106481.86999999982,104250.97999999978
213,116823.82,106481.86999999982,103013.65999999977
214,116823.82,106481.86999999982,103537.44999999976
215,116823.82,106481.86999999982,103576.54999999978
216,116823.82,106481.86999999982,104159.86999999976
217,116823.82,106481.86999999982,104467.42999999976
