iteration,hub upper bound,hub lower bound
91,59228.05,54771.45998104373
92,59228.05,54969.230006748956
93,59228.05,54969.230006748956
94,59228.05,54969.230006748956
95,59228.05,54969.230006748956
96,59228.05,54969.230006748956
97,59228.05,54969.230006748956
98,59228.05,54969.230006748956
99,59228.05,54969.230006748956
100,59228.05,54969.230006748956
101,59228.05,54969.230006748956
102,59228.05,55001.52004763097
103,59228.05,55077.39001365044
104,59228.05,55077.39001365044
105,59228.05,55077.39001365044
106,59228.05,55077.39001365044
107,59228.05,55174.229986033264
108,59228.05,55190.72002093515
109,59228.05,55190.72002093515
110,59228.05,55361.65937618921
111,59228.05,55361.65937618921
112,59228.05,55361.65937618921
113,59228.05,55361.65937618921
114,59228.05,55361.65937618921
115,59228.05,55361.65937618921
116,59228.05,55361.65937618921
117,59228.05,55361.65937618921
118,59228.05,55361.65937618921
119,59228.05,55361.65937618921
120,59228.05,55361.65937618921
121,59228.05,55361.65937618921
122,59228.05,55539.12067835719
123,59228.05,55539.12067835719
124,59228.05,55539.12067835719
125,59228.05,55539.12067835719
126,59228.05,55539.12067835719
127,59228.05,55664.939990501385
128,59228.05,55664.939990501385
129,59228.05,55664.939990501385
130,59228.05,55810.26998815034
131,59228.05,55810.26998815034
132,59228.05,55810.26998815034
133,59228.05,55810.26998815034
134,59228.05,55810.26998815034
135,59228.05,55810.26998815034
136,59228.05,55810.26998815034
137,59228.05,55850.09994647539
138,59228.05,55850.09994647539
139,59228.05,55850.09994647539
140,59228.05,55850.09994647539
141,59228.05,55867.11002211354
142,59228.05,55867.11002211354
143,59228.05,55867.11002211354
144,59228.05,55867.11002211354
145,59228.05,55867.11002211354
146,59228.05,55867.11002211354
147,59228.05,55867.11002211354
148,59228.05,55867.11002211354
149,59228.05,55867.11002211354
150,59228.05,55980.140026361296
151,59228.05,55980.140026361296
152,59228.05,55980.140026361296
153,59228.05,56170.140033581374
154,59228.05,56170.140033581374
155,59228.05,56170.140033581374
156,59228.05,56170.140033581374
157,59228.05,56170.140033581374
158,59228.05,56170.140033581374
159,59228.05,56170.140033581374
160,59228.05,56170.140033581374
161,59228.05,56170.140033581374
162,59228.05,56170.140033581374
163,59228.05,56194.59655123951
164,59228.05,56194.59655123951
165,59228.05,56194.59655123951
166,59228.05,56194.59655123951
167,59228.05,56194.59655123951
168,59228.05,56233.44998583622
169,59228.05,56233.44998583622
170,59228.05,56233.44998583622
171,59228.05,56233.44998583622
172,59228.05,56233.44998583622
173,59228.05,56233.44998583622
174,59228.05,56268.85997088754
175,59228.05,56268.85997088754
176,59228.05,56268.85997088754
177,59228.05,56350.760001363786
178,59228.05,56350.760001363786
179,59228.05,56350.760001363786
180,59228.05,56350.760001363786
181,59228.05,56350.760001363786
182,59228.05,56350.760001363786
183,59228.05,56350.760001363786
184,59228.05,56350.760001363786
185,59228.05,56350.760001363786
186,59228.05,56396.05530641481
187,59228.05,56396.05530641481
188,59228.05,56396.05530641481
189,59228.05,56396.05530641481
190,59228.05,56396.05530641481
191,59228.05,56396.05530641481
192,59228.05,56396.05530641481
193,59228.05,56412.02123996586
194,59228.05,56412.02123996586
195,59228.05,56611.2000056879
196,59228.05,56611.2000056879
197,59228.05,56611.2000056879
198,59228.05,56611.2000056879
199,59228.05,56611.2000056879
200,59228.05,56611.2000056879
