iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,-inf,-275.70000000000005
3,-260.5,-275.70000000000005,-273.85
4,-260.5,-275.70000000000005,-272.90000000000003
5,-260.5,-272.90000000000003,-272.15000000000003
6,-260.5,-272.15000000000003,-272.1
7,-260.5,-272.15000000000003,-271.2
8,-260.5,-271.2,-271.1
9,-260.5,-271.1,-271.1
10,-260.5,-271.1,-270.95000000000005
11,-260.5,-270.95000000000005,-270.40000000000003
12,-260.5,-270.40000000000003,-270.15000000000003
13,-260.5,-270.15000000000003,-270.45
14,-260.5,-270.15000000000003,-270.05
15,-260.5,-270.15000000000003,-269.90000000000003
16,-260.5,-269.90000000000003,-269.70000000000005
17,-260.5,-269.70000000000005,-269.70000000000005
18,-260.5,-269.70000000000005,-269.45000000000005
19,-260.5,-269.45000000000005,-269.45000000000005
20,-260.5,-269.45000000000005,-269.55
21,-260.5,-269.45000000000005,-268.8
22,-260.5,-268.8,-268.65000000000003
23,-260.5,-268.65000000000003,-268.55
24,-260.5,-268.55,-268.700000185258
25,-260.5,-268.55,-268.95
26,-260.5,-268.55,-268.25
27,-260.5,-268.25,-268.40000000000003
28,-260.5,-268.25,-268.35
29,-260.5,-268.25,-268.35
30,-260.5,-268.25,-267.70000000000005
31,-260.5,-267.70000000000005,-267.95
32,-260.5,-267.70000000000005,-267.8
33,-260.5,-267.70000000000005,-267.7
34,-260.5,-267.7,-267.95000000000005
35,-260.5,-267.7,-267.40000000000003
36,-260.5,-267.40000000000003,-267.1
37,-260.5,-267.40000000000003,-267.55
38,-260.5,-267.40000000000003,-266.8
39,-260.5,-266.8,-266.95
40,-260.5,-266.8,-266.95
41,-260.5,-266.8,-266.8
42,-260.5,-266.8,-266.65000000000003
43,-260.5,-266.65000000000003,-267.3
44,-260.5,-266.65000000000003,-266.45000000000005
45,-260.5,-266.45000000000005,-266.45
46,-260.5,-266.45,-266.65000000000003
47,-260.5,-266.45,-266.3
48,-260.5,-266.3,-266.5
49,-260.5,-266.3,-266.40000000000003
50,-260.5,-266.3,-265.8
51,-260.5,-265.8,-266.0
52,0.0,0.0,-266.15000000000003
