iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,-inf,64108.30023949467
3,64414.06707025985,64108.30023949467,64090.269761296986
4,64414.06707025985,64108.30023949467,64112.77825557288
5,64145.281308441554,64108.30023949467,64109.001665622985
6,64145.281308441554,64112.77825557288,64116.18755856638
7,64143.50080306633,64116.18755856638,64119.16869187208
8,64143.39197781864,64116.18755856638,64115.23794197297
9,64143.39197781864,64119.16869187208,64115.328469575565
10,64143.39197781864,64119.16869187208,64115.32619022475
11,64143.26533077864,64119.16869187208,64115.23794197297
12,64143.26533077864,64119.16869187208,64115.328469575565
13,64143.26533077864,64119.16869187208,64115.32619022475
14,64143.26533077864,64119.16869187208,64115.328469575565
15,64143.26533077864,64119.16869187208,64115.3261902237
16,64143.26533077864,64119.16869187208,64115.23794197297
17,64143.26533077864,64119.16869187208,64115.328469575565
18,64143.26533077864,64119.16869187208,64115.3261902237
19,64143.26533077864,64119.16869187208,64115.328469575565
20,64143.26533077864,64119.16869187208,64115.3261902237
21,64143.26533077864,64119.16869187208,64115.23794197297
22,64143.26533077864,64119.16869187208,64115.328469575565
23,0.0,0.0,64115.32619022474
