iteration,hub upper bound,hub lower bound
124,116823.82,110992.26000966491
125,116823.82,111009.1323041898
126,116823.82,111009.1323041898
127,116823.82,111009.1323041898
128,116823.82,111009.1323041898
129,116823.82,111125.79999246002
130,116823.82,111125.79999246002
131,116823.82,111125.79999246002
132,116823.82,111125.79999246002
133,116823.82,111125.79999246002
134,116823.82,111188.86001043464
135,116823.82,111188.86001043464
136,116823.82,111279.90997559296
137,116823.82,111411.98999817748
138,116823.82,111678.14000725275
139,116823.82,111678.14000725275
140,116823.82,111678.14000725275
141,116823.82,111741.28500251056
142,116823.82,112122.62999967072
143,116823.82,112122.62999967072
144,116823.82,112122.62999967072
145,116823.82,112122.62999967072
146,116823.82,112122.62999967072
147,116823.82,112122.62999967072
148,116823.82,112122.62999967072
149,116823.82,112122.62999967072
150,116823.82,112344.98000480943
151,116823.82,112344.98000480943
152,116823.82,112344.98000480943
153,116823.82,112344.98000480943
154,116823.82,112344.98000480943
155,116823.82,112344.98000480943
156,116823.82,112344.98000480943
157,116823.82,112344.98000480943
158,116823.82,112344.98000480943
159,116823.82,112344.98000480943
160,116823.82,112344.98000480943
161,116823.82,112344.98000480943
162,116823.82,112344.98000480943
163,116823.82,112344.98000480943
164,116823.82,112344.98000480943
165,116823.82,112344.98000480943
166,116823.82,112344.98000480943
167,116823.82,112344.98000480943
168,116823.82,112344.98000480943
169,116823.82,112359.89524167692
170,116823.82,112359.89524167692
171,116823.82,112359.89524167692
172,116823.82,112359.89524167692
173,116823.82,112359.89524167692
174,116823.82,112359.89524167692
175,116823.82,112359.89524167692
176,116823.82,112359.89524167692
177,116823.82,112359.89524167692
178,116823.82,112359.89524167692
179,116823.82,112359.89524167692
180,116823.82,112359.89524167692
181,116823.82,112359.89524167692
182,116823.82,112359.89524167692
183,116823.82,112359.89524167692
184,116823.82,112359.89524167692
185,116823.82,112359.89524167692
186,116823.82,112359.89524167692
187,116823.82,112359.89524167692
188,116823.82,112457.88000405178
189,116823.82,112524.64000386337
190,116823.82,112524.64000386337
191,116823.82,112524.64000386337
192,116823.82,112524.64000386337
193,116823.82,112524.64000386337
194,116823.82,112524.64000386337
195,116823.82,112609.45999686992
196,116823.82,112609.45999686992
197,116823.82,112741.57001167523
198,116823.82,112741.57001167523
199,116823.82,112741.57001167523
200,116823.82,112884.4842053452
201,116823.82,112884.4842053452
202,116823.82,112884.4842053452
203,116823.82,112884.4842053452
204,116823.82,112884.4842053452
205,116823.82,112884.4842053452
206,116823.82,112884.4842053452
207,116823.82,112897.03000293196
208,116823.82,112897.03000293196
209,116823.82,112897.03000293196
210,116823.82,112897.03000293196
211,116823.82,113133.2499947804
212,116823.82,113133.2499947804
213,116823.82,113133.2499947804
214,116823.82,113133.2499947804
215,116823.82,113133.2499947804
216,116823.82,113133.2499947804
217,116823.82,113133.2499947804
218,116823.82,113133.2499947804
219,116823.82,113133.2499947804
220,116823.82,113133.2499947804
221,116823.82,113133.2499947804
222,116823.82,113133.2499947804
223,116823.82,113133.2499947804
224,116823.82,113133.2499947804
225,116823.82,113133.2499947804
226,116823.82,113133.2499947804
227,116823.82,113133.2499947804
228,116823.82,113133.2499947804
229,116823.82,113537.7900034199
230,116823.82,113537.7900034199
231,116823.82,113565.08000626841
232,116823.82,113565.08000626841
233,116823.82,113565.08000626841
234,116823.82,113565.08000626841
235,116823.82,113565.08000626841
236,116823.82,113565.08000626841
237,116823.82,113565.08000626841
238,116823.82,113565.08000626841
239,116823.82,113565.08000626841
240,116823.82,113565.08000626841
241,116823.82,113567.7000041943
242,116823.82,113567.7000041943
243,116823.82,113567.7000041943
244,116823.82,113567.7000041943
245,116823.82,113567.7000041943
246,116823.82,113567.7000041943
247,116823.82,113567.7000041943
248,116823.82,113567.7000041943
249,116823.82,113567.7000041943
250,116823.82,113567.7000041943
251,116823.82,113567.7000041943
252,116823.82,113567.7000041943
253,116823.82,113567.7000041943
254,116823.82,113567.7000041943
255,116823.82,113567.7000041943
256,116823.82,113567.7000041943
257,116823.82,113567.7000041943
258,116823.82,113567.7000041943
259,116823.82,113567.7000041943
260,116823.82,113567.7000041943
261,116823.82,113567.7000041943
262,116823.82,113567.7000041943
263,116823.82,113567.7000041943
264,116823.82,113567.7000041943
265,116823.82,113567.7000041943
266,116823.82,113567.7000041943
267,116823.82,113567.7000041943
268,116823.82,113567.7000041943
269,116823.82,113567.7000041943
270,116823.82,113567.7000041943
271,116823.82,113567.7000041943
272,116823.82,113567.7000041943
273,116823.82,113567.7000041943
274,116823.82,113567.7000041943
275,116823.82,113567.7000041943
276,116823.82,113567.7000041943
277,116823.82,113567.7000041943
278,116823.82,113567.7000041943
279,116823.82,113567.7000041943
280,116823.82,113567.7000041943
281,116823.82,113567.7000041943
282,116823.82,113567.7000041943
283,116823.82,113567.7000041943
284,116823.82,113567.7000041943
285,116823.82,113567.7000041943
286,116823.82,113567.7000041943
287,116823.82,113567.7000041943
288,116823.82,113567.7000041943
289,116823.82,113567.7000041943
290,116823.82,113567.7000041943
291,116823.82,113567.7000041943
292,116823.82,113567.7000041943
293,116823.82,113567.7000041943
294,116823.82,113567.7000041943
295,116823.82,113567.7000041943
296,116823.82,113567.7000041943
297,116823.82,113567.7000041943
298,116823.82,113567.7000041943
299,116823.82,113567.7000041943
300,116823.82,113567.7000041943
