iteration,hub abs. gap,hub rel. gap
0,inf,inf
1,inf,inf
2,inf,inf
3,inf,inf
4,inf,inf
5,inf,inf
6,inf,inf
7,inf,inf
8,inf,inf
9,inf,inf
10,inf,inf
11,inf,inf
12,inf,inf
13,inf,inf
14,inf,inf
15,inf,inf
16,inf,inf
17,inf,inf
18,inf,inf
19,inf,inf
20,inf,inf
21,inf,inf
22,inf,inf
23,inf,inf
24,inf,inf
25,inf,inf
26,inf,inf
27,inf,inf
28,inf,inf
29,inf,inf
30,inf,inf
31,inf,inf
32,inf,inf
33,inf,inf
34,inf,inf
35,inf,inf
36,inf,inf
37,inf,inf
38,inf,inf
39,inf,inf
40,inf,inf
41,inf,inf
42,inf,inf
43,inf,inf
44,inf,inf
45,inf,inf
46,inf,inf
47,inf,inf
48,inf,inf
49,22372.100000000006,0.2905669419888266
50,22275.550000000003,0.2889506195259641
51,12055.550000000003,0.1563803650740941
52,12055.550000000003,0.1563803650740941
53,12055.550000000003,0.1563803650740941
54,11926.700000000012,0.1547089680793659
55,11843.10000000002,0.15345812363621314
56,11843.10000000002,0.15345812363621314
57,11834.35000000002,0.15332736055804666
58,11834.35000000002,0.15332736055804666
59,11834.35000000002,0.15332736055804666
60,11834.35000000002,0.15332736055804666
61,11215.650000000009,0.14415585667509628
62,9544.0,0.12266997419740432
63,9544.0,0.12266997419740432
64,9544.0,0.12266997419740432
65,9544.0,0.12266997419740432
66,9544.0,0.12266997419740432
67,9544.0,0.12266997419740432
68,9460.35000000002,0.12146421881239124
69,9460.35000000002,0.12146421881239124
70,9270.699991682544,0.11874011762574747
71,9270.699991682544,0.11874011762574747
72,9270.699991682544,0.11874011762574747
73,9270.699991682544,0.11874011762574747
74,9270.699991682544,0.11874011762574747
75,9270.699991682544,0.11874011762574747
76,9270.699991682544,0.11874011762574747
77,9270.699991682544,0.11874011762574747
78,9270.699991682544,0.11874011762574747
79,9270.699991682544,0.11874011762574747
80,9270.699991682544,0.11874011762574747
81,9270.699991682544,0.11874011762574747
82,9270.699991682544,0.11874011762574747
83,9270.699991682544,0.11874011762574747
84,9270.699991682544,0.11874011762574747
85,9270.699991682544,0.11874011762574747
86,9270.699991682544,0.11874011762574747
87,9270.699991682544,0.11874011762574747
88,9270.699991682544,0.11874011762574747
89,9270.699991682544,0.11874011762574747
90,9270.699991682544,0.11874011762574747
91,9270.699991682544,0.11874011762574747
92,9270.699991682544,0.11874011762574747
93,9270.699991682544,0.11874011762574747
94,9270.699991682544,0.11874011762574747
95,9270.699991682544,0.11874011762574747
96,9270.699991682544,0.11874011762574747
97,9232.050019962,0.11818657839830966
98,9232.050019962,0.11818657839830966
99,9232.050019962,0.11818657839830966
100,9232.050019962,0.11818657839830966
