iteration,hub abs. gap,hub rel. gap,spoke abs. gap,spoke rel. gap
1,,,,
2,inf,inf,0.0,0.0
3,inf,inf,707.2999999999956,0.015265949766327057
4,inf,inf,708.8600000000006,0.01506956861696328
5,inf,inf,255.3599999999933,0.005348074046196112
6,inf,inf,261.1499999999942,0.0054402407829945805
7,inf,inf,542.6844442664878,0.01124395766056173
8,inf,inf,319.28555573349877,0.006541768342063675
9,inf,inf,222.1999999999898,0.004523016188204493
10,inf,inf,139.5000000000291,0.0028268216129667665
11,inf,inf,148.66488689881226,0.0030040465577318774
12,inf,inf,325.4851131011965,0.006557324848569491
13,inf,inf,107.47999999999593,0.0021512194379928397
14,inf,inf,4.489999999997963,8.967474231988684e-05
15,inf,inf,288.419999999991,0.0057598374256828
16,inf,inf,285.34000000001106,0.005665695380018191
17,9154.980000000003,0.18075666821789338,126.38999999999942,0.002495454418912923
18,9028.590000000004,0.17781747838678022,306.6900000000023,0.006040239112246986
19,8721.900000000001,0.17074589325185782,129.34999999999854,0.002532244269267884
20,8592.550000000003,0.16778876683931354,-86.87129032257508,-0.0016963563408958762
21,8592.550000000003,0.16778876683931354,253.1536115071067,0.00494339076242746
22,8339.396388492896,0.1620443276445045,-106.41361150710145,-0.0020677422352396494
23,8339.396388492896,0.1620443276445045,130.9917115697972,0.0025453237667920365
24,8208.404676923099,0.15909405799075318,-53.8053230769292,-0.0010428466342403723
25,8208.404676923099,0.15909405799075318,3.5546769230859354,6.889621050601183e-05
26,8204.850000000013,0.15901420630401622,102.43000000000757,0.001985145999222601
27,8102.4200000000055,0.15671795228880114,243.31999999999243,0.004706323808307874
28,7859.100000000013,0.1512995637414702,395.4499999999898,0.007613010711348977
29,7463.650000000023,0.14260093061787896,-183.58275862069422,-0.003507542854328426
30,7463.650000000023,0.14260093061787896,-44.19999999998254,-0.0008444877684923249
31,7463.650000000023,0.14260093061787896,41.399814680167765,0.0007909872650512325
32,7463.650000000023,0.14260093061787896,223.50999999994383,0.00427039504832006
33,7422.2501853198555,0.14169786214838337,224.8401853198302,0.0042924144012121196
34,6622.3900000000285,0.1258874045112262,-75.5400364607849,-0.0014359678494820698
35,6622.3900000000285,0.1258874045112262,217.30000000001746,0.004130734221374992
36,6622.3900000000285,0.1258874045112262,234.5201247619043,0.00445807779546734
