iteration,hub upper bound,hub lower bound
128,inf,103497.95999277051
129,inf,103669.83999151515
130,inf,103669.83999151515
131,inf,103806.11750004406
132,inf,103806.11750004406
133,inf,103988.93999413468
134,inf,104152.27700218966
135,inf,104152.27700218966
136,inf,104152.27700218966
137,inf,104152.27700218966
138,inf,104152.27700218966
139,inf,104191.73000037321
140,inf,104453.35295453893
141,inf,104453.35295453893
142,inf,104553.63999803997
143,inf,104553.63999803997
144,inf,104580.39000322204
145,inf,104580.39000322204
146,inf,104786.35000608109
147,inf,104786.35000608109
148,inf,104786.35000608109
149,inf,104786.35000608109
150,inf,105023.3500025739
151,inf,105023.3500025739
152,inf,105023.3500025739
153,inf,105359.10999331139
154,inf,105359.10999331139
155,inf,105503.19001818354
156,inf,105503.19001818354
157,inf,105503.19001818354
158,inf,105503.19001818354
159,inf,105755.83665789878
160,inf,105883.35498923545
161,inf,105883.35498923545
162,inf,105883.35498923545
163,inf,105883.35498923545
164,inf,105883.35498923545
165,inf,105883.35498923545
166,inf,105883.35498923545
167,inf,105883.35498923545
168,inf,106036.1599924136
169,inf,106036.1599924136
170,inf,106039.96461798096
171,inf,106323.26999391995
172,inf,106323.26999391995
173,inf,106513.2400137609
174,inf,106513.2400137609
175,inf,106607.45166199359
176,inf,106647.4399919666
177,inf,106647.4399919666
178,inf,106770.03579551446
179,inf,106770.03579551446
180,inf,106770.03579551446
181,inf,106770.03579551446
182,inf,106770.03579551446
183,inf,106990.79001229507
184,inf,106990.79001229507
185,inf,106990.79001229507
186,inf,106990.79001229507
187,inf,107087.430007316
188,inf,107087.430007316
189,inf,107087.430007316
190,inf,107145.27999050329
191,inf,107145.27999050329
192,inf,107359.69000086487
193,inf,107506.46498831733
194,inf,107506.46498831733
195,inf,107522.38998876484
196,inf,107677.90501616061
197,inf,107677.90501616061
198,inf,107677.90501616061
199,inf,107746.33232166548
200,inf,107808.81998992758
201,inf,107808.81998992758
202,inf,107894.90090196265
203,inf,108099.88780916703
204,inf,108099.88780916703
205,inf,108099.88780916703
206,inf,108198.55999647807
207,inf,108198.55999647807
208,inf,108198.55999647807
209,inf,108198.55999647807
210,inf,108214.5599902737
211,inf,108216.09412343148
212,inf,108349.96873490201
213,inf,108349.96873490201
214,inf,108349.96873490201
215,inf,108349.96873490201
216,inf,108349.96873490201
217,inf,108374.51000642605
218,inf,108426.8000009748
219,inf,108489.21345223313
220,inf,108489.21345223313
221,inf,108489.21345223313
222,inf,108600.73749373516
223,inf,108600.73749373516
224,inf,108602.00910757425
225,inf,108689.43000392558
226,inf,108816.55165270287
227,inf,108822.57250068126
228,inf,108858.77001178081
229,inf,108937.84000012955
230,inf,108937.84000012955
231,inf,109070.89091813013
232,inf,109070.89091813013
233,inf,109233.3200026218
234,inf,109233.3200026218
235,inf,109233.3200026218
236,inf,109233.3200026218
237,inf,109233.3200026218
238,inf,109233.3200026218
239,inf,109297.34001376538
240,inf,109310.09972271985
241,inf,109310.09972271985
242,inf,109482.43000443726
243,inf,109482.43000443726
244,inf,109517.76599931637
245,inf,109517.76599931637
246,inf,109517.76599931637
247,inf,109517.76599931637
248,inf,109517.76599931637
249,inf,109542.39772858452
250,inf,109638.05001455735
251,inf,109638.05001455735
252,inf,109638.05001455735
253,inf,109834.89000783188
254,inf,109834.89000783188
255,inf,109834.89000783188
256,inf,109834.89000783188
257,inf,109904.68546133558
258,inf,109904.68546133558
259,inf,109929.02001326469
260,inf,109929.02001326469
261,inf,109929.02001326469
262,inf,110295.37999312297
263,inf,110295.37999312297
264,inf,110295.37999312297
265,116823.82,110295.37999312297
266,116823.82,110295.37999312297
267,116823.82,110295.37999312297
268,116823.82,110295.37999312297
269,116823.82,110295.37999312297
270,116823.82,110344.71633129846
271,116823.82,110344.71633129846
272,116823.82,110441.67999100524
273,116823.82,110441.67999100524
274,116823.82,110541.53180860254
275,116823.82,110541.53180860254
276,116823.82,110583.27001428211
277,116823.82,110583.27001428211
278,116823.82,110583.27001428211
279,116823.82,110583.27001428211
280,116823.82,110697.51000695262
