iteration,hub abs. gap,hub rel. gap
0,inf,inf
1,inf,inf
2,inf,inf
3,inf,inf
4,inf,inf
5,inf,inf
6,inf,inf
7,inf,inf
8,inf,inf
9,inf,inf
10,inf,inf
11,inf,inf
12,inf,inf
13,inf,inf
14,inf,inf
15,inf,inf
16,inf,inf
17,inf,inf
18,inf,inf
19,inf,inf
20,inf,inf
21,inf,inf
22,inf,inf
23,inf,inf
24,inf,inf
25,inf,inf
26,inf,inf
27,inf,inf
28,inf,inf
29,inf,inf
30,inf,inf
31,inf,inf
32,inf,inf
33,inf,inf
34,inf,inf
35,inf,inf
36,inf,inf
37,inf,inf
38,inf,inf
39,inf,inf
40,inf,inf
41,inf,inf
42,inf,inf
43,inf,inf
44,inf,inf
45,inf,inf
46,inf,inf
47,inf,inf
48,inf,inf
49,inf,inf
50,inf,inf
51,inf,inf
52,inf,inf
53,inf,inf
54,inf,inf
55,inf,inf
56,inf,inf
57,inf,inf
58,inf,inf
59,inf,inf
60,inf,inf
61,inf,inf
62,inf,inf
63,inf,inf
64,inf,inf
65,inf,inf
66,inf,inf
67,inf,inf
68,inf,inf
69,inf,inf
70,inf,inf
71,inf,inf
72,inf,inf
73,inf,inf
74,inf,inf
75,inf,inf
76,inf,inf
77,inf,inf
78,inf,inf
79,inf,inf
80,inf,inf
81,inf,inf
82,inf,inf
83,inf,inf
84,inf,inf
85,inf,inf
86,inf,inf
87,inf,inf
88,inf,inf
89,inf,inf
90,inf,inf
91,inf,inf
92,inf,inf
93,inf,inf
94,inf,inf
95,inf,inf
96,inf,inf
97,inf,inf
98,inf,inf
99,inf,inf
100,inf,inf
101,inf,inf
102,inf,inf
103,inf,inf
104,inf,inf
105,inf,inf
106,inf,inf
107,inf,inf
108,inf,inf
109,inf,inf
110,inf,inf
111,inf,inf
112,inf,inf
113,inf,inf
114,inf,inf
115,inf,inf
116,inf,inf
117,inf,inf
118,inf,inf
119,inf,inf
120,inf,inf
121,inf,inf
122,inf,inf
123,inf,inf
124,inf,inf
125,inf,inf
126,inf,inf
127,inf,inf
128,inf,inf
129,inf,inf
130,inf,inf
131,inf,inf
132,inf,inf
133,inf,inf
134,inf,inf
135,inf,inf
136,inf,inf
137,inf,inf
138,inf,inf
139,inf,inf
140,inf,inf
141,inf,inf
142,inf,inf
143,inf,inf
144,inf,inf
145,inf,inf
146,inf,inf
147,inf,inf
148,inf,inf
149,inf,inf
150,inf,inf
151,inf,inf
152,inf,inf
153,inf,inf
154,inf,inf
155,inf,inf
156,inf,inf
157,inf,inf
158,inf,inf
159,inf,inf
160,inf,inf
161,inf,inf
162,inf,inf
163,inf,inf
164,inf,inf
165,inf,inf
166,inf,inf
167,inf,inf
168,inf,inf
169,inf,inf
170,inf,inf
171,inf,inf
172,inf,inf
173,inf,inf
174,inf,inf
175,inf,inf
176,inf,inf
177,inf,inf
178,inf,inf
179,inf,inf
180,inf,inf
181,inf,inf
182,inf,inf
183,inf,inf
184,inf,inf
185,inf,inf
186,inf,inf
187,inf,inf
188,inf,inf
189,inf,inf
190,inf,inf
191,inf,inf
192,inf,inf
193,inf,inf
194,inf,inf
195,inf,inf
196,inf,inf
197,inf,inf
198,inf,inf
199,inf,inf
200,inf,inf
201,inf,inf
202,inf,inf
203,inf,inf
204,inf,inf
205,inf,inf
206,inf,inf
207,inf,inf
208,inf,inf
209,inf,inf
210,inf,inf
211,inf,inf
212,inf,inf
213,inf,inf
214,inf,inf
215,inf,inf
216,inf,inf
217,inf,inf
218,inf,inf
219,inf,inf
220,inf,inf
221,inf,inf
222,inf,inf
223,inf,inf
224,inf,inf
225,inf,inf
226,inf,inf
227,inf,inf
228,inf,inf
229,inf,inf
230,inf,inf
231,inf,inf
232,inf,inf
233,inf,inf
234,inf,inf
235,inf,inf
236,inf,inf
237,inf,inf
238,inf,inf
239,inf,inf
240,inf,inf
241,inf,inf
242,inf,inf
243,inf,inf
244,inf,inf
245,inf,inf
246,inf,inf
247,inf,inf
248,inf,inf
249,inf,inf
250,inf,inf
251,inf,inf
252,inf,inf
253,inf,inf
254,inf,inf
255,inf,inf
256,inf,inf
257,inf,inf
258,inf,inf
259,inf,inf
260,inf,inf
261,inf,inf
262,inf,inf
263,inf,inf
264,inf,inf
265,6528.440006877034,0.059190511944236364
266,6528.440006877034,0.059190511944236364
267,6528.440006877034,0.059190511944236364
268,6528.440006877034,0.059190511944236364
269,6528.440006877034,0.059190511944236364
270,6479.103668701544,0.058716936198818195
271,6479.103668701544,0.058716936198818195
272,6382.140008994771,0.057787422370925136
273,6382.140008994771,0.057787422370925136
274,6282.288191397471,0.056831926323175595
275,6282.288191397471,0.056831926323175595
276,6240.549985717895,0.05643303896612853
277,6240.549985717895,0.05643303896612853
278,6240.549985717895,0.05643303896612853
279,6240.549985717895,0.05643303896612853
280,6126.309993047384,0.05534279852060454
281,6086.867143379117,0.05496690116857579
282,6064.6119342233,0.05475492322608248
283,6006.053380251818,0.054197567442958325
284,6006.053380251818,0.054197567442958325
285,6006.053380251818,0.054197567442958325
286,6006.053380251818,0.054197567442958325
287,6006.053380251818,0.054197567442958325
288,5998.458032263792,0.05412531866135551
289,5986.928183232711,0.05401566288172485
290,5986.928183232711,0.05401566288172485
291,5984.562729735888,0.05399316882053325
292,5981.462407048501,0.053963688042565267
293,5981.462407048501,0.053963688042565267
294,5968.853717422957,0.05384380977761458
295,5968.853717422957,0.05384380977761458
296,5968.192710480042,0.053837525946184066
297,5902.5624998002895,0.05321398830868521
298,5902.5624998002895,0.05321398830868521
299,5798.209999712242,0.0522240769467262
300,5798.209999712242,0.0522240769467262
301,5746.866566843426,0.05173770426015286
302,5746.866566843426,0.05173770426015286
303,5746.866566843426,0.05173770426015286
304,5746.866566843426,0.05173770426015286
305,5740.896599928572,0.05168118036696251
306,5740.896599928572,0.05168118036696251
307,5740.896599928572,0.05168118036696251
308,5646.194803326478,0.05078535175884845
309,5646.194803326478,0.05078535175884845
310,5582.655724776545,0.050185160872322505
311,5449.670002505838,0.04893119276446511
312,5449.670002505838,0.04893119276446511
313,5446.631176121315,0.04890257362065494
314,5434.241532181753,0.04878590624841775
315,5427.854509513811,0.04872577283759328
316,5411.938326341813,0.04857595298672163
317,5411.938326341813,0.04857595298672163
318,5400.759993264321,0.04847075634916001
319,5400.759993264321,0.04847075634916001
320,5399.559223749879,0.04845945744789527
321,5388.346659853545,0.04835396214817624
322,5386.122564249206,0.04833303889246783
323,5375.841659434358,0.04823633177989753
324,5374.299992980887,0.04822183166551468
325,5354.115121679875,0.048032020247334516
326,5351.949993412403,0.048011664226105845
327,5350.1166603195015,0.04799442828248677
328,5343.083326774693,0.04792831018363694
329,5335.849993518219,0.04786032065350188
330,5333.716660108024,0.04784027012556891
331,5305.974437200814,0.04757959957370996
332,5305.974437200814,0.04757959957370996
333,5305.974437200814,0.04757959957370996
334,5305.974437200814,0.04757959957370996
335,5305.974437200814,0.04757959957370996
336,5305.974437200814,0.04757959957370996
337,5187.2000076533,0.04646503994844085
338,5187.2000076533,0.04646503994844085
339,5187.2000076533,0.04646503994844085
340,5029.909986431259,0.04499270117505296
341,5029.909986431259,0.04499270117505296
342,4965.732163146502,0.04439314366243313
343,4965.732163146502,0.04439314366243313
344,4965.732163146502,0.04439314366243313
345,4808.256753141657,0.042924899128037125
346,4808.256753141657,0.042924899128037125
347,4808.256753141657,0.042924899128037125
348,4808.256753141657,0.042924899128037125
349,4808.256753141657,0.042924899128037125
350,4765.840007890583,0.042530125995722666
351,4723.032857849626,0.042132022247627424
352,4723.032857849626,0.042132022247627424
353,4522.468341502536,0.04027082732944413
354,4522.468341502536,0.04027082732944413
355,4521.837148903709,0.04026498049370431
356,4521.837148903709,0.04026498049370431
357,4490.870006282334,0.03997820769892974
358,4490.870006282334,0.03997820769892974
359,4490.870006282334,0.03997820769892974
360,4490.870006282334,0.03997820769892974
361,4454.233327137743,0.03963913598886147
362,4454.233327137743,0.03963913598886147
363,4439.080006951568,0.03949895695114966
364,4439.080006951568,0.03949895695114966
365,4426.440006293793,0.03938205682856358
366,4426.440006293793,0.03938205682856358
367,4416.9004406697495,0.03929384826116897
368,4416.9004406697495,0.03929384826116897
369,4401.125912698582,0.039148020321243183
370,4401.125912698582,0.039148020321243183
371,4394.459445735178,0.039086404334872656
372,4394.459445735178,0.039086404334872656
373,4386.7459123760345,0.0390151197723037
374,4386.7459123760345,0.0390151197723037
375,4379.945912376046,0.038952285732906114
376,4379.945912376046,0.038952285732906114
377,4352.540006475421,0.03869912396058811
378,4352.540006475421,0.03869912396058811
379,4345.826484339603,0.03863712668144751
380,4345.826484339603,0.03863712668144751
381,4338.310007369582,0.03856772314633067
382,4338.310007369582,0.03856772314633067
383,4331.0618864317075,0.0385008062657619
384,4331.0618864317075,0.0385008062657619
385,4331.0618864317075,0.0385008062657619
386,4331.0618864317075,0.0385008062657619
387,4331.0618864317075,0.0385008062657619
388,4331.0618864317075,0.0385008062657619
389,4331.0618864317075,0.0385008062657619
390,4331.0618864317075,0.0385008062657619
391,4286.583583095868,0.03809035764141071
392,4286.583583095868,0.03809035764141071
393,4260.303946803688,0.03784799992202015
394,4150.629997108117,0.03683777833042258
