iteration,hub abs. gap,hub rel. gap,spoke abs. gap,spoke rel. gap
1,,,,
2,inf,inf,inf,inf
3,15.200000000000045,0.05513239027928924,0.7900000000000205,0.0028654334421473354
4,15.200000000000045,0.05513239027928924,1.330000000000041,0.004824084149437942
5,13.870000000000005,0.05055217407150929,0.40999999999996817,0.0014943324707510594
6,13.460000000000036,0.04913126003796187,0.37000000000000455,0.001350562125857806
7,13.090000000000032,0.047845315983771446,0.5,0.001827552176614642
8,12.590000000000032,0.046102017649859134,0.30000000000001137,0.0010985389432055781
9,12.29000000000002,0.04505297114996891,0.2400000000000091,0.0008797976465413288
10,12.29000000000002,0.04505297114996891,0.35000000000002274,0.0012830382345394725
11,12.050000000000011,0.04421207117960011,0.30000000000001137,0.0011007154650523256
12,11.75,0.04315886134067952,0.16999999999995907,0.0006244260789713832
13,11.75,0.04315886134067952,0.339999999999975,0.0012488521579429753
14,11.580000000000041,0.04256101146721567,0.25,0.0009188473978241692
15,11.410000000000025,0.04196241403405548,0.21999999999997044,0.0008090912434260248
16,11.330000000000041,0.04168046205348946,0.19000000000005457,0.000698966265680957
17,11.139999999999986,0.04101016050655274,0.13999999999992951,0.0005153880135470826
18,11.000000000000057,0.040515653775322485,0.06999999999999318,0.0002578268876611166
19,10.930000000000064,0.0402682091146891,0.11000000000001364,0.00040526102494202416
20,10.930000000000064,0.0402682091146891,0.18000000000006366,0.0006631544044507373
21,10.82000000000005,0.03987910953855244,0.10000000000002274,0.0003685684800236721
22,10.75,0.03963133640552995,0.13999999999998636,0.0005161290322580142
23,10.720000000000027,0.039525108767790085,0.19000000000005457,0.0007005383083845386
24,10.610000000000014,0.03913540629264879,0.13999999999998636,0.0005163955589981423
25,10.529999999999973,0.03885178762498607,0.13999999999992951,0.0005165479836177897
26,10.470000000000027,0.03863896372292145,0.19999999999998863,0.0007380890873528015
27,10.270000000000039,0.03792886952025718,0.09000000000003183,0.00033238541935972163
28,10.180000000000007,0.03760898477907495,0.029999999999972715,0.00011083197872015928
29,10.180000000000007,0.03760898477907495,0.06999999999999318,0.0002586079503472483
30,10.150000000000034,0.03750230925549615,0.17000000000007276,0.0006281174949199067
31,10.110000000000014,0.03736003843169141,0.19999999999998863,0.0007390709877683331
32,9.910000000000025,0.03664805295662152,0.040000000000020464,0.00014792352353840634
33,9.870000000000005,0.03650552945962941,0.10000000000002274,0.00036986352036107086
34,9.769999999999982,0.036149036149036085,0.049999999999954525,0.00018500018500001677
35,9.720000000000027,0.03597069054844211,0.020000000000038654,7.40137665607233e-05
36,9.699999999999989,0.03589933382679492,0.01999999999998181,7.401924500363364e-05
37,9.699999999999989,0.03589933382679492,0.1199999999999477,0.0004441154700220122
38,9.680000000000007,0.03582796654082466,0.20999999999997954,0.0007772596047078967
39,9.580000000000041,0.03547097156398119,0.1400000000000432,0.0005183649289101125
40,9.470000000000027,0.03507797162647711,0.08000000000004093,0.00029632922176553293
41,9.389999999999986,0.034791952276853486,0.06999999999999318,0.000259364926451492
42,9.319999999999993,0.034541546215995825,-0.020000000000038654,-7.412348973403994e-05
43,9.319999999999993,0.034541546215995825,0.07999999999998408,0.0002964939589355277
44,9.240000000000009,0.034255208719507706,-0.009999999999990905,-3.707273670939017e-05
45,9.240000000000009,0.034255208719507706,0.06999999999999318,0.0002595091569659419
46,9.240000000000009,0.034255208719507706,0.10000000000002274,0.0003707273670943232
47,9.139999999999986,0.033897047915739456,0.14999999999997726,0.0005562972852691636
48,8.990000000000009,0.0333593083231289,0.060000000000002274,0.0002226427696760632
49,8.930000000000007,0.03314404483539326,-0.01999999999998181,-7.423078350585239e-05
50,8.930000000000007,0.03314404483539326,0.06999999999999318,0.0002598077422706943
51,0.0,inf,-269.26,inf
