iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,-inf,-275.70000000000005
3,-260.5,-275.70000000000005,-274.91
4,-260.5,-275.70000000000005,-274.37
5,-260.5,-274.37,-273.96000000000004
6,-260.5,-273.96000000000004,-273.59000000000003
7,-260.5,-273.59000000000003,-273.09000000000003
8,-260.5,-273.09000000000003,-272.79
9,-260.5,-272.79,-272.55
10,-260.5,-272.79,-272.44
11,-260.5,-272.55,-272.25
12,-260.5,-272.25,-272.08000000000004
13,-260.5,-272.25,-271.91
14,-260.5,-272.08000000000004,-271.83000000000004
15,-260.5,-271.91,-271.69000000000005
16,-260.5,-271.83000000000004,-271.64
17,-260.5,-271.64,-271.50000000000006
18,-260.5,-271.50000000000006,-271.43000000000006
19,-260.5,-271.43000000000006,-271.32000000000005
20,-260.5,-271.43000000000006,-271.25
21,-260.5,-271.32000000000005,-271.22
22,-260.5,-271.25,-271.11
23,-260.5,-271.22,-271.03
24,-260.5,-271.11,-270.97
25,-260.5,-271.03,-270.89000000000004
26,-260.5,-270.97,-270.77000000000004
27,-260.5,-270.77000000000004,-270.68
28,-260.5,-270.68,-270.65000000000003
29,-260.5,-270.68,-270.61
30,-260.5,-270.65000000000003,-270.47999999999996
31,-260.5,-270.61,-270.41
32,-260.5,-270.41,-270.37
33,-260.5,-270.37,-270.27
34,-260.5,-270.27,-270.22
35,-260.5,-270.22,-270.2
36,-260.5,-270.2,-270.18
37,-260.5,-270.2,-270.08000000000004
38,-260.5,-270.18,-269.97
39,-260.5,-270.08000000000004,-269.94
40,-260.5,-269.97,-269.89
41,-260.5,-269.89,-269.82
42,-260.5,-269.82,-269.84000000000003
43,-260.5,-269.82,-269.74
44,-260.5,-269.74,-269.75
45,-260.5,-269.74,-269.67
46,-260.5,-269.74,-269.64
47,-260.5,-269.64,-269.49
48,-260.5,-269.49,-269.43
49,-260.5,-269.43,-269.45
50,-260.5,-269.43,-269.36
51,0.0,0.0,-269.26
