iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,69814.39,69814.39
3,inf,69814.39,73816.03
4,inf,69814.39,78366.85
5,inf,73816.03,83704.03
6,inf,78366.85,86525.55
7,inf,83704.03,85625.23
8,inf,85625.23,88660.58
9,inf,88660.58,89652.26
10,inf,89652.26,88618.90999999999
11,inf,89652.26,91523.60999999999
12,inf,91523.60999999999,92132.80999999998
13,inf,92132.80999999998,93753.44190476187
14,inf,93753.44190476187,92450.28999999998
15,inf,93753.44190476187,92557.27999999998
16,inf,93753.44190476187,93667.85999999997
17,inf,93753.44190476187,94082.94703124998
18,inf,94082.94703124998,95949.33999999997
19,inf,95949.33999999997,95330.13999999997
20,inf,95949.33999999997,96222.21987012983
21,inf,96222.21987012983,96977.01999999996
22,inf,96977.01999999996,97297.89999999997
23,inf,97297.89999999997,96767.08999999997
24,inf,97297.89999999997,97062.55999999997
25,inf,97297.89999999997,98410.94999999997
26,inf,98410.94999999997,98879.35999999996
27,inf,98879.35999999996,98714.04999999996
28,inf,98879.35999999996,98988.70999999996
29,inf,98988.70999999996,99403.01999999996
30,inf,99403.01999999996,97642.65343749996
31,inf,99403.01999999996,99228.37999999996
32,inf,99403.01999999996,99828.29333333329
33,inf,99828.29333333329,100964.87999999996
34,inf,100964.87999999996,102332.66999999997
35,inf,102332.66999999997,104057.41999999995
36,116823.82,104057.41999999995,103114.69999999997
37,116823.82,104057.41999999995,104171.99999999996
38,116823.82,104171.99999999996,103744.32636363633
39,116823.82,104171.99999999996,103852.41999999997
40,116823.82,104171.99999999996,103826.57999999997
41,116823.82,104171.99999999996,103867.32999999997
42,116823.82,104171.99999999996,103788.86999999997
43,116823.82,104171.99999999996,103797.36636363633
44,116823.82,104171.99999999996,103719.1694405594
45,116823.82,104171.99999999996,103710.28636363633
46,116823.82,104171.99999999996,103625.68636363633
47,116823.82,104171.99999999996,103612.28636363633
48,116823.82,104171.99999999996,103531.68636363633
49,116823.82,104171.99999999996,103514.28636363633
