iteration,hub upper bound,hub lower bound
91,59228.05,55116.409988126725
92,59228.05,55116.409988126725
93,59228.05,55116.409988126725
94,59228.05,55116.409988126725
95,59228.05,55196.44871657754
96,59228.05,55203.589999999946
97,59228.05,55203.589999999946
98,59228.05,55203.589999999946
99,59228.05,55203.589999999946
100,59228.05,55203.589999999946
101,59228.05,55203.589999999946
102,59228.05,55203.589999999946
103,59228.05,55203.589999999946
104,59228.05,55304.916719551606
105,59228.05,55335.66997101082
106,59228.05,55335.66997101082
107,59228.05,55335.66997101082
108,59228.05,55335.66997101082
109,59228.05,55393.01755194832
110,59228.05,55393.01755194832
111,59228.05,55484.05005515646
112,59228.05,55484.05005515646
113,59228.05,55484.05005515646
114,59228.05,55484.05005515646
115,59228.05,55601.33469765555
116,59228.05,55601.33469765555
117,59228.05,55601.33469765555
118,59228.05,55601.33469765555
119,59228.05,55622.37004603407
120,59228.05,55622.37004603407
121,59228.05,55709.56999247929
122,59228.05,55709.56999247929
123,59228.05,55723.40999971382
124,59228.05,55723.40999971382
125,59228.05,55723.40999971382
126,59228.05,55723.40999971382
127,59228.05,55723.40999971382
128,59228.05,55728.839921283354
129,59228.05,55941.85313029859
130,59228.05,55941.85313029859
131,59228.05,55941.85313029859
132,59228.05,55941.85313029859
133,59228.05,55941.85313029859
134,59228.05,55941.85313029859
135,59228.05,55941.85313029859
136,59228.05,55994.80854007951
137,59228.05,55994.80854007951
138,59228.05,55994.80854007951
139,59228.05,55994.80854007951
140,59228.05,55994.80854007951
141,59228.05,55994.80854007951
142,59228.05,55994.80854007951
143,59228.05,55994.80854007951
144,59228.05,56219.210091945824
145,59228.05,56219.210091945824
146,59228.05,56219.210091945824
147,59228.05,56219.210091945824
148,59228.05,56219.210091945824
149,59228.05,56219.210091945824
150,59228.05,56219.210091945824
151,59228.05,56219.210091945824
152,59228.05,56219.210091945824
153,59228.05,56219.210091945824
154,59228.05,56219.210091945824
155,59228.05,56219.210091945824
156,59228.05,56219.210091945824
157,59228.05,56219.210091945824
158,59228.05,56219.210091945824
159,59228.05,56293.0601584564
160,59228.05,56293.0601584564
161,59228.05,56293.0601584564
162,59228.05,56317.152521655094
163,59228.05,56378.60005124124
164,59228.05,56396.76982380717
165,59228.05,56396.76982380717
166,59228.05,56515.439982702315
167,59228.05,56515.439982702315
168,59228.05,56515.439982702315
169,59228.05,56515.439982702315
170,59228.05,56515.439982702315
171,59228.05,56631.51380045971
172,59228.05,56631.51380045971
173,59228.05,56631.51380045971
174,59228.05,56631.51380045971
175,59228.05,56631.51380045971
176,59228.05,56631.51380045971
177,59228.05,56631.51380045971
178,59228.05,56631.51380045971
179,59228.05,56631.51380045971
180,59228.05,56631.51380045971
181,59228.05,56631.51380045971
182,59228.05,56631.51380045971
183,59228.05,56631.51380045971
184,59228.05,56820.92913716132
185,59228.05,56820.92913716132
186,59228.05,56820.92913716132
