iteration,hub abs. gap,hub rel. gap,spoke abs. gap,spoke rel. gap
1,,,,
2,inf,inf,0.0,0.0
3,inf,inf,519.9222222222306,0.007229905446347082
4,inf,inf,1227.8722222222132,0.01707447708028183
5,inf,inf,1308.699999999997,0.01806781886345449
6,inf,inf,1172.1000000000058,0.016025299218218145
7,inf,inf,739.5,0.010028294844073237
8,inf,inf,85.79999999998836,0.00115197396377711
9,inf,inf,534.7999999999884,0.007180369182145321
10,inf,inf,696.2499999999272,0.00933728416121587
11,inf,inf,726.0500000000029,0.009678647055647761
12,inf,inf,11.05000000000291,0.00014589057282848037
13,inf,inf,-79.05000000000291,-0.0010436787133112
14,inf,inf,385.8500000000058,0.005093544458782101
15,inf,inf,-344.20000000001164,-0.004520703033678208
16,inf,inf,49.699999999967986,0.0006527569458851093
17,inf,inf,-69.90000000000873,-0.0009180625858632641
18,inf,inf,502.90000000000873,0.006600751033951524
19,inf,inf,330.59045031058486,0.004339123596544154
20,inf,inf,-130.6500000001397,-0.0017035852874924336
21,inf,inf,-53.64999999997963,-0.00069955874989542
22,inf,inf,-200.39999999997963,-0.002613076858883153
23,inf,inf,-67.95000000014261,-0.0008860208211651744
24,inf,inf,23.850000000020373,0.0003109874405410318
25,inf,inf,53.744434992957395,0.0007005722474658805
26,inf,inf,22.299999999828287,0.000290686116998272
27,inf,inf,61.50556833403243,0.0008011792914908248
28,inf,inf,-132.34442334882624,-0.001723935152595032
29,inf,inf,-132.34999500949925,-0.0017226275961927532
30,inf,inf,-422.3999916826142,-0.005497830825394707
31,inf,inf,-198.94999500949052,-0.0025894730985154993
32,inf,inf,-328.84999500958656,-0.004280212298993318
33,inf,inf,-414.5999950095138,-0.005396308422478636
34,inf,inf,-433.29999500949634,-0.005639701979436929
35,inf,inf,164.34999667300144,0.002139129961302827
36,inf,inf,-219.90000000000873,-0.00285604259516744
37,inf,inf,-221.6999999999971,-0.002879420842876708
38,inf,inf,-274.50000000013097,-0.0035651827756880638
39,inf,inf,-95.95000000001164,-0.001246190482066113
40,inf,inf,-114.44999999999709,-0.0014864669168571725
41,inf,inf,96.55000000000291,0.0012539832313024726
42,22275.550000000003,0.2889506195259641,-411.4500000000262,-0.005337185048358648
43,12055.550000000003,0.1563803650740941,-254.20000000001164,-0.0032973932173842365
44,12055.550000000003,0.1563803650740941,-512.5568183318828,-0.006648707223806127
45,12055.550000000003,0.1563803650740941,83.59999999999127,0.0010844298700758489
46,11843.10000000002,0.15345812363621314,8.75,0.00011337897863033013
47,11843.10000000002,0.15345812363621314,-357.1499999999942,-0.004627805967751057
48,11834.35000000002,0.15332736055804666,-136.8999966729898,-0.001773693962936271
49,11834.35000000002,0.15332736055804666,618.7000000000116,0.008015956767990223
50,11834.35000000002,0.15332736055804666,304.5,0.003945141160260185
51,11215.650000000009,0.14415585667509628,-73.85000000000582,-0.0009492013405782714
52,9544.0,0.12266997419740432,-99.10000000000582,-0.001273742083294581
53,9544.0,0.12266997419740432,-58.549996673013084,-0.0007525488873781039
54,9544.0,0.12266997419740432,-411.3706035817304,-0.005287386978933519
55,9544.0,0.12266997419740432,83.64999999997963,0.0010751617080480272
56,9544.0,0.12266997419740432,7.017358567944029,9.019480243751343e-05
57,9460.35000000002,0.12146421881239124,189.65000831747602,0.0024349722904591985
58,9270.699991682544,0.11874011762574747,-248.1000083174731,-0.00317769145771042
59,9270.699991682544,0.11874011762574747,-438.1713390906225,-0.005612145403316963
60,9270.699991682544,0.11874011762574747,-120.9000033269549,-0.00154850018109479
61,9270.699991682544,0.11874011762574747,-267.10000831745856,-0.0034210454910532703
62,9270.699991682544,0.11874011762574747,-526.8500083174586,-0.00674795128899294
63,9270.699991682544,0.11874011762574747,-460.99999999995634,-0.00590453733532259
64,9270.699991682544,0.11874011762574747,-498.4500033269578,-0.006384200985761324
65,9270.699991682544,0.11874011762574747,-324.7999999999738,-0.004160073159463784
66,9270.699991682544,0.11874011762574747,-387.3227322631574,-0.0049608710053518105
67,9270.699991682544,0.11874011762574747,-523.0352991081018,-0.0066990920851967405
68,9270.699991682544,0.11874011762574747,-476.92840564472135,-0.0061085500594477244
69,9270.699991682544,0.11874011762574747,-291.50000499050657,-0.0037335632596818442
70,9270.699991682544,0.11874011762574747,-237.6500049904571,-0.003043846696758973
71,9270.699991682544,0.11874011762574747,-203.82143688888755,-0.0026105667762465236
72,9270.699991682544,0.11874011762574747,-440.93818639179517,-0.005647583479652998
73,9270.699991682544,0.11874011762574747,-214.25000831745274,-0.002744137035149013
74,9270.699991682544,0.11874011762574747,-86.65000831746147,-0.0011098225796453637
75,9270.699991682544,0.11874011762574747,-325.90000831746147,-0.004174162183714915
76,9270.699991682544,0.11874011762574747,-279.6000083174731,-0.0035811468287791385
77,9270.699991682544,0.11874011762574747,-82.49819013566594,-0.0010566456480534218
78,9270.699991682544,0.11874011762574747,-139.10010304414027,-0.0017816090060117644
79,9270.699991682544,0.11874011762574747,38.64997172054427,0.0004950329740415131
80,9270.699991682544,0.11874011762574747,-272.2999966729694,-0.0034876474984032913
81,9232.050019962,0.11818657839830966,-401.54997172050935,-0.005140550269005188
82,9232.050019962,0.11818657839830966,-484.4602364482562,-0.006201948385467168
83,0.0,inf,77937.90218223054,inf
