iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,-275.70000000000005,-275.70000000000005
3,-260.5,-275.70000000000005,-274.6000000014685
4,-260.5,-275.70000000000005,-273.2
5,-260.5,-273.2,-273.3
6,-260.5,-273.2,-272.10000007600667
7,-260.5,-273.2,-271.8
8,-260.5,-271.8,-271.90000000000003
9,-260.5,-271.8,-271.70000000000005
10,-260.5,-271.70000000000005,-271.20000000000005
11,-260.5,-271.70000000000005,-272.8
12,-260.5,-271.70000000000005,-273.70000000000005
13,-260.5,-271.70000000000005,-272.0
14,-260.5,-271.70000000000005,-272.40000000000003
15,-260.5,-271.70000000000005,-271.0
16,-260.5,-271.70000000000005,-271.0
17,-260.5,-271.0,-271.1
18,-260.5,-271.0,-270.8
19,-260.5,-270.8,-270.70000000000005
20,-260.5,-270.8,-272.30000000000007
21,-260.5,-270.8,-270.1000000000001
22,-260.5,-270.1000000000001,-270.5
23,-260.5,-270.1000000000001,-270.8
24,-260.5,-270.1000000000001,-269.90000000000003
25,-260.5,-270.1000000000001,-270.00000000000006
26,-260.5,-269.90000000000003,-270.4
27,-260.5,-269.90000000000003,-270.8
28,-260.5,-269.90000000000003,-270.8
29,-260.5,-269.90000000000003,-269.6
30,-260.5,-269.90000000000003,-269.7
31,-260.5,-269.6,-269.3
32,-260.5,-269.3,-269.6
33,-260.5,-269.3,-269.5
34,-260.5,-269.3,-269.8
35,-260.5,-269.3,-270.1
36,-260.5,-269.3,-270.6
37,-260.5,-269.3,-269.90000000000003
38,-260.5,-269.3,-269.0
39,-260.5,-269.3,-268.3
40,-260.5,-269.0,-268.8
41,-260.5,-268.3,-268.6
42,-260.5,-268.3,-268.20000000000005
43,-260.5,-268.3,-268.0
44,-260.5,-268.20000000000005,-268.2000000000001
45,-260.5,-268.0,-268.5
46,-260.5,-268.0,-268.3
47,-260.5,-268.0,-268.4000000786229
48,-260.5,-268.0,-268.50000007862286
49,-260.5,-268.0,-268.6
50,-260.5,-268.0,-267.70000000000005
51,-260.5,-268.0,-267.7
52,-260.5,-267.7,-267.90000000000003
53,-260.5,-267.7,-267.6
54,-260.5,-267.7,-268.2
55,-260.5,-267.6,-268.3
56,-260.5,-267.6,-267.90000000000003
57,-260.5,-267.6,-268.2
58,-260.5,-267.6,-268.6
59,-260.5,-267.6,-268.60000028700006
60,-260.5,-267.6,-268.7008415106933
61,-260.5,-267.6,-269.6019212393994
62,-260.5,-267.6,-268.8022260104296
63,-260.5,-267.6,-268.9039196140302
64,-260.5,-267.6,-268.50081167511667
65,-260.5,-267.6,-268.3000001678113
66,-260.5,-267.6,-268.3000001678113
67,-260.5,-267.6,-268.3021840157094
68,-260.5,-267.6,-268.3021840157094
69,-260.5,-267.6,-268.3021840157094
70,-260.5,-267.6,-268.3021840157094
71,-260.5,-267.6,-268.3053117808078
72,0.0,0.0,-268.3021840157094
