iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,-275.70000000000005,-275.70000000000005
3,-260.5,-275.70000000000005,-274.91
4,-260.5,-274.91,-274.43
5,-260.5,-274.91,-273.96000000000004
6,-260.5,-273.96000000000004,-273.59000000000003
7,-260.5,-273.96000000000004,-273.1
8,-260.5,-273.59000000000003,-272.8
9,-260.5,-273.1,-272.54
10,-260.5,-272.8,-272.53000000000003
11,-260.5,-272.54,-272.44
12,-260.5,-272.53000000000003,-272.3
13,-260.5,-272.44,-272.05
14,-260.5,-272.3,-272.02000000000004
15,-260.5,-272.02000000000004,-271.88
16,-260.5,-272.02000000000004,-271.82
17,-260.5,-271.88,-271.77000000000004
18,-260.5,-271.77000000000004,-271.42
19,-260.5,-271.77000000000004,-271.35
20,-260.5,-271.35,-271.24
21,-260.5,-271.35,-271.18
22,-260.5,-271.24,-271.12
23,-260.5,-271.18,-271.07000000000005
24,-260.5,-271.12,-271.12
25,-260.5,-271.07000000000005,-271.07000027244044
26,-260.5,-271.07000000000005,-270.95000000000005
27,-260.5,-271.07000000000005,-270.92
28,-260.5,-270.95000000000005,-270.79
29,-260.5,-270.92,-270.79
30,-260.5,-270.79,-270.69
31,-260.5,-270.79,-270.56
32,-260.5,-270.69,-270.43
33,-260.5,-270.43,-270.42
34,-260.5,-270.43,-270.28000000000003
35,-260.5,-270.42,-270.19
36,-260.5,-270.28000000000003,-270.12
37,-260.5,-270.19,-270.1
38,-260.5,-270.12,-270.13000000000005
39,-260.5,-270.1,-270.1
40,-260.5,-270.1,-270.06000000000006
41,-260.5,-270.1,-270.0
42,-260.5,-270.06000000000006,-269.92
43,-260.5,-270.0,-269.92
44,-260.5,-269.92,-269.82000000000005
45,-260.5,-269.92,-269.77000000000004
46,-260.5,-269.82000000000005,-269.64
47,-260.5,-269.77000000000004,-269.69
48,-260.5,-269.64,-269.69000000000005
49,0.0,0.0,-269.59000000000003
