iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,-inf,-275.70000000000005
3,-260.5,-275.70000000000005,-274.6000000014685
4,-260.5,-275.70000000000005,-273.3
5,-260.5,-274.6000000014685,-272.70000000000005
6,-260.5,-272.70000000000005,-272.10000007600667
7,-260.5,-272.70000000000005,-271.8
8,-260.5,-271.8,-272.1
9,-260.5,-271.8,-271.70000000000005
10,-260.5,-271.8,-272.7
11,-260.5,-271.70000000000005,-271.20000000000005
12,-260.5,-271.70000000000005,-271.70000000000005
13,-260.5,-271.20000000000005,-271.9
14,-260.5,-271.20000000000005,-271.5
15,-260.5,-271.20000000000005,-271.3
16,-260.5,-271.20000000000005,-270.5
17,-260.5,-270.5,-269.8
18,-260.5,-269.8,-270.90000000000003
19,-260.5,-269.8,-269.90000000000003
20,-260.5,-269.8,-269.40000000000003
21,-260.5,-269.40000000000003,-269.2
22,-260.5,-269.40000000000003,-269.5
23,-260.5,-269.2,-269.40000000000003
24,-260.5,-269.2,-270.2
25,-260.5,-269.2,-269.40000000000003
26,-260.5,-269.2,-268.7
27,-260.5,-269.2,-268.9
28,-260.5,-268.7,-268.5
29,-260.5,-268.7,-267.2
30,-260.5,-268.5,-268.0
31,-260.5,-267.2,-268.2
32,-260.5,-267.2,-268.3
33,-260.5,-267.2,-268.0
34,-260.5,-267.2,-267.8
35,-260.5,-267.2,-268.1
36,-260.5,-267.2,-268.50000000000006
37,-260.5,-267.2,-267.3
38,-260.5,-267.2,-266.90000000000003
39,-260.5,-266.90000000000003,-268.1
40,-260.5,-266.90000000000003,-267.2
41,-260.5,-266.90000000000003,-267.2
42,-260.5,-266.90000000000003,-267.20000006899477
43,-260.5,-266.90000000000003,-266.70000000000005
44,-260.5,-266.70000000000005,-266.80000000000206
45,-260.5,-266.70000000000005,-266.5
46,-260.5,-266.5,-266.8
47,-260.5,-266.5,-266.9
48,-260.5,-266.5,-266.79999999999995
49,-260.5,-266.5,-266.79999999999995
50,-260.5,-266.5,-266.79999999999995
51,-260.5,-266.5,-266.79999999999995
52,-260.5,-266.5,-266.79999999999995
53,-260.5,-266.5,-266.79999999999995
54,0.0,0.0,-266.79999999999995
