iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,69814.39,69814.39
3,inf,69814.39,71253.46
4,inf,71253.46,72981.58
5,inf,72981.58,74383.81
6,inf,74383.81,75436.03
7,inf,75436.03,76158.37999964089
8,inf,76158.37999964089,77010.67333401753
9,inf,77010.67333401753,78113.78000130088
10,inf,78113.78000130088,79027.41997319603
11,inf,79027.41997319603,79720.43000004739
12,inf,79720.43000004739,80464.58000008298
13,inf,80464.58000008298,81036.55000036197
14,inf,81036.55000036197,81797.32999739118
15,inf,81797.32999739118,82443.79000008167
16,inf,82443.79000008167,82901.75999769932
17,inf,82901.75999769932,83489.759997645
18,inf,83489.759997645,84086.9199977239
19,inf,84086.9199977239,84768.11999759452
20,inf,84768.11999759452,85181.67724190773
21,inf,85181.67724190773,85535.18000052973
22,inf,85535.18000052973,85912.68692377236
23,inf,85912.68692377236,86682.6199978612
24,inf,86682.6199978612,87298.68999779777
25,inf,87298.68999779777,87913.26441973411
26,inf,87913.26441973411,88335.30142968478
27,inf,88335.30142968478,88857.50000035236
28,inf,88857.50000035236,89305.5928587195
29,inf,89305.5928587195,89953.70000138451
30,inf,89953.70000138451,90335.09000015815
31,inf,90335.09000015815,90692.40999813823
32,inf,90692.40999813823,91079.86909247747
33,inf,91079.86909247747,91476.46999824507
34,inf,91476.46999824507,91692.85000173215
35,inf,91692.85000173215,91978.09000076864
36,inf,91978.09000076864,92144.2099976178
37,inf,92144.2099976178,92464.94468920368
38,inf,92464.94468920368,92666.88000045334
39,inf,92666.88000045334,92819.24142868505
40,inf,92819.24142868505,93022.92999861483
41,inf,93022.92999861483,93164.70999914821
42,inf,93164.70999914821,93356.6499988776
43,inf,93356.6499988776,93508.99000167588
44,inf,93508.99000167588,93652.57999785217
45,inf,93652.57999785217,93841.09000154183
46,inf,93841.09000154183,94270.37999810069
47,inf,94270.37999810069,94494.71000073818
48,inf,94494.71000073818,94509.970001435
49,inf,94509.970001435,94929.37999959444
50,inf,94929.37999959444,94708.1700015043
