iteration,hub abs. gap,hub rel. gap
280,10341.950000000186,0.09712404562391892
281,10341.950000000186,0.09712404562391892
282,10341.950000000186,0.09712404562391892
283,10341.950000000186,0.09712404562391892
284,10341.950000000186,0.09712404562391892
285,10341.950000000186,0.09712404562391892
286,10341.950000000186,0.09712404562391892
287,10341.950000000186,0.09712404562391892
288,10341.950000000186,0.09712404562391892
289,10341.950000000186,0.09712404562391892
290,10341.950000000186,0.09712404562391892
291,10341.950000000186,0.09712404562391892
292,10341.950000000186,0.09712404562391892
293,10341.950000000186,0.09712404562391892
294,10341.950000000186,0.09712404562391892
295,10341.950000000186,0.09712404562391892
296,10341.950000000186,0.09712404562391892
297,10341.950000000186,0.09712404562391892
298,10341.950000000186,0.09712404562391892
299,10341.950000000186,0.09712404562391892
300,10341.950000000186,0.09712404562391892
301,10341.950000000186,0.09712404562391892
302,10341.950000000186,0.09712404562391892
303,10341.950000000186,0.09712404562391892
304,10341.950000000186,0.09712404562391892
305,10341.950000000186,0.09712404562391892
306,10341.950000000186,0.09712404562391892
307,10341.950000000186,0.09712404562391892
308,10341.950000000186,0.09712404562391892
309,10341.950000000186,0.09712404562391892
310,10341.950000000186,0.09712404562391892
311,10341.950000000186,0.09712404562391892
312,10341.950000000186,0.09712404562391892
313,10341.950000000186,0.09712404562391892
314,10341.950000000186,0.09712404562391892
315,10341.950000000186,0.09712404562391892
316,10341.950000000186,0.09712404562391892
317,10341.950000000186,0.09712404562391892
318,10341.950000000186,0.09712404562391892
319,10341.950000000186,0.09712404562391892
320,10341.950000000186,0.09712404562391892
321,10341.950000000186,0.09712404562391892
322,10341.950000000186,0.09712404562391892
323,10341.950000000186,0.09712404562391892
324,10341.950000000186,0.09712404562391892
325,10341.950000000186,0.09712404562391892
326,10341.950000000186,0.09712404562391892
327,10341.950000000186,0.09712404562391892
328,10341.950000000186,0.09712404562391892
329,10341.950000000186,0.09712404562391892
330,10341.950000000186,0.09712404562391892
331,10341.950000000186,0.09712404562391892
332,10341.950000000186,0.09712404562391892
333,10341.950000000186,0.09712404562391892
334,10341.950000000186,0.09712404562391892
335,10341.950000000186,0.09712404562391892
336,10341.950000000186,0.09712404562391892
337,10341.950000000186,0.09712404562391892
338,10341.950000000186,0.09712404562391892
339,10341.950000000186,0.09712404562391892
340,10341.950000000186,0.09712404562391892
341,10341.950000000186,0.09712404562391892
342,10341.950000000186,0.09712404562391892
343,10341.950000000186,0.09712404562391892
344,10341.950000000186,0.09712404562391892
345,10341.950000000186,0.09712404562391892
346,10341.950000000186,0.09712404562391892
347,10341.950000000186,0.09712404562391892
348,10341.950000000186,0.09712404562391892
349,10341.950000000186,0.09712404562391892
350,10341.950000000186,0.09712404562391892
351,10341.950000000186,0.09712404562391892
352,10341.950000000186,0.09712404562391892
353,10341.950000000186,0.09712404562391892
354,10341.950000000186,0.09712404562391892
355,10341.950000000186,0.09712404562391892
356,10341.950000000186,0.09712404562391892
357,10341.950000000186,0.09712404562391892
358,10341.950000000186,0.09712404562391892
359,10341.950000000186,0.09712404562391892
